"","user","neighbor_20_threshold_0.1"
"1",1,30351
"2",1,13753
"3",1,68504
"4",1,68031
"5",1,65361
"6",1,59303
"7",1,35088
"8",1,10482
"9",1,55444
"10",1,52544
"11",1,52304
"12",1,67335
"13",1,21824
"14",1,42831
"15",1,41235
"16",1,71382
"17",1,66434
"18",1,37502
"19",1,34870
"20",1,56946
"21",23,16150
"22",23,49284
"23",23,36710
"24",23,44653
"25",23,9535
"26",23,41849
"27",23,31098
"28",23,6797
"29",23,8581
"30",23,23148
"31",23,37151
"32",23,31907
"33",23,26348
"34",23,8861
"35",23,48809
"36",23,5295
"37",23,34506
"38",23,46299
"39",23,23897
"40",23,63912
"41",27,52604
"42",27,53297
"43",27,37604
"44",27,5367
"45",27,36611
"46",27,35119
"47",27,25938
"48",27,47156
"49",27,42295
"50",27,15222
"51",27,21601
"52",27,30536
"53",27,25476
"54",27,45431
"55",27,38464
"56",27,30631
"57",27,30456
"58",27,38704
"59",27,38943
"60",27,41866
"61",71,27693
"62",71,36220
"63",71,38340
"64",71,31761
"65",71,36881
"66",71,20361
"67",71,38311
"68",71,42026
"69",71,27781
"70",71,38972
"71",71,33365
"72",71,26280
"73",71,16800
"74",71,38009
"75",71,38018
"76",71,29341
"77",71,25524
"78",71,32694
"79",71,38567
"80",71,32874
"81",119,48690
"82",119,67102
"83",119,51957
"84",119,37699
"85",119,14225
"86",119,31465
"87",119,31136
"88",119,53099
"89",119,44018
"90",119,58952
"91",119,31075
"92",119,11030
"93",119,13526
"94",119,60948
"95",119,23846
"96",119,20422
"97",119,16804
"98",119,45678
"99",119,66364
"100",119,3087
"101",160,44533
"102",160,16378
"103",160,16819
"104",160,24788
"105",160,16384
"106",160,16815
"107",160,53014
"108",160,2756
"109",160,32864
"110",160,22668
"111",160,16800
"112",160,38704
"113",160,34526
"114",160,17751
"115",160,49496
"116",160,19514
"117",160,27781
"118",160,35743
"119",160,53208
"120",160,73007
"121",162,51820
"122",162,64377
"123",162,65225
"124",162,28585
"125",162,48690
"126",162,13159
"127",162,17537
"128",162,6477
"129",162,66444
"130",162,33699
"131",162,13644
"132",162,15976
"133",162,42912
"134",162,60744
"135",162,31075
"136",162,51957
"137",162,31416
"138",162,26576
"139",162,67102
"140",162,22668
"141",245,26411
"142",245,50074
"143",245,70494
"144",245,2067
"145",245,73113
"146",245,37572
"147",245,59832
"148",245,54145
"149",245,22284
"150",245,44718
"151",245,67465
"152",245,34535
"153",245,46835
"154",245,67598
"155",245,24022
"156",245,9815
"157",245,45609
"158",245,16804
"159",245,46276
"160",245,70677
"161",251,26084
"162",251,44432
"163",251,49309
"164",251,16031
"165",251,25536
"166",251,46305
"167",251,36129
"168",251,17751
"169",251,33172
"170",251,41388
"171",251,12410
"172",251,22668
"173",251,11258
"174",251,26839
"175",251,48107
"176",251,44089
"177",251,46296
"178",251,45969
"179",251,29717
"180",251,14088
"181",254,25737
"182",254,11465
"183",254,27274
"184",254,13130
"185",254,49068
"186",254,31310
"187",254,28452
"188",254,30606
"189",254,32216
"190",254,34672
"191",254,19348
"192",254,41354
"193",254,14350
"194",254,19963
"195",254,18374
"196",254,21074
"197",254,45006
"198",254,32362
"199",254,17199
"200",254,12615
"201",286,40818
"202",286,36525
"203",286,32216
"204",286,28779
"205",286,33365
"206",286,38577
"207",286,19773
"208",286,31537
"209",286,36220
"210",286,43709
"211",286,16587
"212",286,30381
"213",286,49068
"214",286,25480
"215",286,32348
"216",286,17017
"217",286,36684
"218",286,36140
"219",286,40702
"220",286,28653
"221",305,43537
"222",305,32030
"223",305,46592
"224",305,15881
"225",305,21453
"226",305,45466
"227",305,42309
"228",305,39444
"229",305,42134
"230",305,32362
"231",305,10874
"232",305,62837
"233",305,44760
"234",305,45431
"235",305,38972
"236",305,49549
"237",305,19789
"238",305,17645
"239",305,29317
"240",305,48107
"241",332,15224
"242",332,45634
"243",332,19348
"244",332,11258
"245",332,38379
"246",332,40818
"247",332,16800
"248",332,24286
"249",332,32888
"250",332,49653
"251",332,36883
"252",332,43537
"253",332,48224
"254",332,41657
"255",332,36140
"256",332,27778
"257",332,38972
"258",332,17040
"259",332,24149
"260",332,24788
"261",390,25391
"262",390,31255
"263",390,12968
"264",390,30860
"265",390,26513
"266",390,45033
"267",390,24802
"268",390,48205
"269",390,37049
"270",390,36047
"271",390,25527
"272",390,29317
"273",390,21599
"274",390,31944
"275",390,24030
"276",390,46305
"277",390,42220
"278",390,48821
"279",390,29771
"280",390,45431
"281",489,49398
"282",489,74109
"283",489,13361
"284",489,63014
"285",489,34880
"286",489,69890
"287",489,661
"288",489,36596
"289",489,51595
"290",489,13526
"291",489,59387
"292",489,37610
"293",489,66284
"294",489,46918
"295",489,3087
"296",489,69466
"297",489,21824
"298",489,35801
"299",489,63912
"300",489,30330
"301",502,48143
"302",502,12615
"303",502,20704
"304",502,11992
"305",502,31255
"306",502,3219
"307",502,31394
"308",502,48284
"309",502,34506
"310",502,30407
"311",502,21962
"312",502,15334
"313",502,20235
"314",502,25242
"315",502,13839
"316",502,36037
"317",502,17948
"318",502,36596
"319",502,27218
"320",502,31666
"321",546,59832
"322",546,62269
"323",546,24859
"324",546,46599
"325",546,68830
"326",546,46640
"327",546,30268
"328",546,47152
"329",546,51654
"330",546,46651
"331",546,60960
"332",546,18894
"333",546,72364
"334",546,62443
"335",546,56775
"336",546,20940
"337",546,39510
"338",546,45412
"339",546,54910
"340",546,52907
"341",599,160
"342",599,16824
"343",599,18970
"344",599,16378
"345",599,30021
"346",599,30585
"347",599,22022
"348",599,32508
"349",599,13785
"350",599,44090
"351",599,31136
"352",599,15652
"353",599,59364
"354",599,19945
"355",599,24149
"356",599,22093
"357",599,16377
"358",599,17305
"359",599,44602
"360",599,48690
"361",622,30520
"362",622,57650
"363",622,73113
"364",622,13731
"365",622,14598
"366",622,46835
"367",622,37683
"368",622,7898
"369",622,47016
"370",622,36172
"371",622,2067
"372",622,20938
"373",622,59665
"374",622,9815
"375",622,42430
"376",622,70470
"377",622,70574
"378",622,70494
"379",622,23846
"380",622,9430
"381",661,489
"382",661,53040
"383",661,51749
"384",661,38046
"385",661,43446
"386",661,16804
"387",661,57725
"388",661,23053
"389",661,32191
"390",661,34880
"391",661,70657
"392",661,13361
"393",661,4096
"394",661,54145
"395",661,16517
"396",661,69550
"397",661,70574
"398",661,59387
"399",661,46276
"400",661,23846
"401",686,21255
"402",686,66543
"403",686,37683
"404",686,46599
"405",686,25933
"406",686,36954
"407",686,58714
"408",686,55869
"409",686,8064
"410",686,26851
"411",686,33408
"412",686,62391
"413",686,53453
"414",686,73319
"415",686,52507
"416",686,70097
"417",686,52886
"418",686,46651
"419",686,44038
"420",686,71881
"421",749,2488
"422",749,38340
"423",749,42309
"424",749,44554
"425",749,34183
"426",749,42806
"427",749,27781
"428",749,46305
"429",749,40818
"430",749,43537
"431",749,38972
"432",749,42080
"433",749,43378
"434",749,22195
"435",749,34293
"436",749,44022
"437",749,38704
"438",749,24788
"439",749,17012
"440",749,23661
"441",775,25431
"442",775,30101
"443",775,46931
"444",775,41202
"445",775,20034
"446",775,34193
"447",775,46090
"448",775,39006
"449",775,21081
"450",775,29369
"451",775,44212
"452",775,45964
"453",775,37256
"454",775,34357
"455",775,30008
"456",775,35743
"457",775,24061
"458",775,31473
"459",775,33965
"460",775,30078
"461",791,19302
"462",791,29199
"463",791,38340
"464",791,28293
"465",791,36470
"466",791,12621
"467",791,35771
"468",791,22616
"469",791,28982
"470",791,29317
"471",791,15329
"472",791,30368
"473",791,34526
"474",791,49661
"475",791,24852
"476",791,40818
"477",791,24788
"478",791,14350
"479",791,27781
"480",791,22235
"481",833,28779
"482",833,20422
"483",833,33172
"484",833,22195
"485",833,46305
"486",833,48107
"487",833,40818
"488",833,22093
"489",833,26839
"490",833,22225
"491",833,36883
"492",833,15961
"493",833,38972
"494",833,24433
"495",833,16800
"496",833,23980
"497",833,41657
"498",833,27778
"499",833,7431
"500",833,36088
"501",854,160
"502",854,37817
"503",854,33983
"504",854,40113
"505",854,40732
"506",854,30171
"507",854,36972
"508",854,26626
"509",854,17751
"510",854,14378
"511",854,32991
"512",854,30564
"513",854,41536
"514",854,17949
"515",854,19824
"516",854,22040
"517",854,44653
"518",854,12968
"519",854,11372
"520",854,14088
"521",875,72195
"522",875,68667
"523",875,70335
"524",875,73000
"525",875,65630
"526",875,69435
"527",875,69202
"528",875,72576
"529",875,65725
"530",875,73924
"531",875,71523
"532",875,69440
"533",875,63558
"534",875,69707
"535",875,73555
"536",875,70414
"537",875,64069
"538",875,69199
"539",875,74186
"540",875,63491
"541",979,791
"542",979,17465
"543",979,16378
"544",979,22616
"545",979,28230
"546",979,31473
"547",979,20395
"548",979,16800
"549",979,15640
"550",979,15113
"551",979,17751
"552",979,41251
"553",979,19591
"554",979,25867
"555",979,27781
"556",979,21354
"557",979,19302
"558",979,15224
"559",979,11278
"560",979,30911
"561",1037,19773
"562",1037,28377
"563",1037,38972
"564",1037,35771
"565",1037,26084
"566",1037,34012
"567",1037,38551
"568",1037,45634
"569",1037,26839
"570",1037,22235
"571",1037,23263
"572",1037,36883
"573",1037,38340
"574",1037,36963
"575",1037,27781
"576",1037,27693
"577",1037,40818
"578",1037,36220
"579",1037,25867
"580",1037,32050
"581",1069,20135
"582",1069,44022
"583",1069,32073
"584",1069,30379
"585",1069,28575
"586",1069,44760
"587",1069,41026
"588",1069,42080
"589",1069,14350
"590",1069,15640
"591",1069,49653
"592",1069,38972
"593",1069,33172
"594",1069,23296
"595",1069,25782
"596",1069,43849
"597",1069,32453
"598",1069,30101
"599",1069,11374
"600",1069,45533
"601",1083,36883
"602",1083,34193
"603",1083,29317
"604",1083,33614
"605",1083,39090
"606",1083,30663
"607",1083,28230
"608",1083,44653
"609",1083,11673
"610",1083,16031
"611",1083,38464
"612",1083,41202
"613",1083,31666
"614",1083,34333
"615",1083,16800
"616",1083,46240
"617",1083,40818
"618",1083,35743
"619",1083,45187
"620",1083,38918
"621",1154,22487
"622",1154,21986
"623",1154,13130
"624",1154,17199
"625",1154,44432
"626",1154,16761
"627",1154,30239
"628",1154,31310
"629",1154,18990
"630",1154,28779
"631",1154,13545
"632",1154,25737
"633",1154,27274
"634",1154,28851
"635",1154,11465
"636",1154,28452
"637",1154,9087
"638",1154,19348
"639",1154,36875
"640",1154,15743
"641",1159,28920
"642",1159,16303
"643",1159,21986
"644",1159,30101
"645",1159,40818
"646",1159,38918
"647",1159,43537
"648",1159,32498
"649",1159,48063
"650",1159,11731
"651",1159,20142
"652",1159,44432
"653",1159,13639
"654",1159,11305
"655",1159,12680
"656",1159,45634
"657",1159,22487
"658",1159,36470
"659",1159,38009
"660",1159,25890
"661",1195,20135
"662",1195,38311
"663",1195,14505
"664",1195,15640
"665",1195,46018
"666",1195,42080
"667",1195,14754
"668",1195,40818
"669",1195,27538
"670",1195,44261
"671",1195,20463
"672",1195,24356
"673",1195,28779
"674",1195,36470
"675",1195,41115
"676",1195,41202
"677",1195,19995
"678",1195,18374
"679",1195,24852
"680",1195,11785
"681",1216,38943
"682",1216,38791
"683",1216,37807
"684",1216,28584
"685",1216,39258
"686",1216,39382
"687",1216,39498
"688",1216,21084
"689",1216,25526
"690",1216,35596
"691",1216,35971
"692",1216,14047
"693",1216,7751
"694",1216,38340
"695",1216,49483
"696",1216,32313
"697",1216,45634
"698",1216,2448
"699",1216,27747
"700",1216,39335
"701",1233,33172
"702",1233,54610
"703",1233,44866
"704",1233,37785
"705",1233,55829
"706",1233,45533
"707",1233,20142
"708",1233,24463
"709",1233,29450
"710",1233,15329
"711",1233,17751
"712",1233,54655
"713",1233,34841
"714",1233,36692
"715",1233,38972
"716",1233,30330
